,ANO,DISTRITO,CONCELHO,NCCO
314,2013.0,Évora,Arraiolos,10
315,2013.0,Évora,Borba,6
316,2013.0,Évora,Estremoz,22
317,2013.0,Évora,Montemor-o-Novo,18
318,2013.0,Évora,Montemor-o-novo,4
319,2013.0,Évora,Mora,2
320,2013.0,Évora,Mourão,8
321,2013.0,Évora,Portel,7
322,2013.0,Évora,Redondo,7
323,2013.0,Évora,Reguengos de Monsaraz,23
324,2013.0,Évora,Vendas Novas,8
325,2013.0,Évora,Viana do Alentejo,9
326,2013.0,Évora,Vila Viçosa,5
327,2013.0,Évora,Évora,56
328,2014.0,Aveiro,Albergaria-a-Velha,45
329,2014.0,Aveiro,Albergaria-a-velha,5
330,2014.0,Aveiro,Anadia,24
331,2014.0,Aveiro,Arouca,41
332,2014.0,Aveiro,Aveiro,40
333,2014.0,Aveiro,Castelo De Paiva,5
334,2014.0,Aveiro,Castelo de Paiva,16
335,2014.0,Aveiro,Espinho,19
336,2014.0,Aveiro,Estarreja,24
337,2014.0,Aveiro,Mealhada,21
338,2014.0,Aveiro,Murtosa,9
339,2014.0,Aveiro,Oliveira De Azeméis,17
340,2014.0,Aveiro,Oliveira de Azeméis,49
341,2014.0,Aveiro,Oliveira do Bairro,14
342,2014.0,Aveiro,Ovar,26
343,2014.0,Aveiro,Santa Maria Da Feira,25
344,2014.0,Aveiro,Santa Maria da Feira,59
345,2014.0,Aveiro,Sever do Vouga,12
346,2014.0,Aveiro,São João da Madeira,35
347,2014.0,Aveiro,Vagos,13
348,2014.0,Aveiro,Vale De Cambra,1
349,2014.0,Aveiro,Vale de Cambra,26
350,2014.0,Aveiro,Águeda,54
351,2014.0,Aveiro,Ílhavo,11
352,2014.0,Beja,Aljustrel,18
353,2014.0,Beja,Almodôvar,9
354,2014.0,Beja,Alvito,3
355,2014.0,Beja,Barrancos,3
356,2014.0,Beja,Beja,68
357,2014.0,Beja,Castro Verde,10
358,2014.0,Beja,Cuba,7
359,2014.0,Beja,Ferreira do Alentejo,12
360,2014.0,Beja,Moura,58
361,2014.0,Beja,Mértola,17
362,2014.0,Beja,Odemira,39
363,2014.0,Beja,Ourique,19
364,2014.0,Beja,Serpa,29
365,2014.0,Beja,Vidigueira,18
366,2014.0,Braga,Amares,22
367,2014.0,Braga,Barcelos,58
368,2014.0,Braga,Braga,36
369,2014.0,Braga,Cabeceiras De Basto,30
370,2014.0,Braga,Cabeceiras de Basto,16
371,2014.0,Braga,Celorico De Basto,23
372,2014.0,Braga,Celorico de Basto,32
373,2014.0,Braga,Esposende,12
374,2014.0,Braga,Fafe,49
375,2014.0,Braga,Guimarães,117
376,2014.0,Braga,Póvoa De Lanhoso,2
377,2014.0,Braga,Póvoa de Lanhoso,64
378,2014.0,Braga,Terras De Bouro,10
379,2014.0,Braga,Terras de Bouro,13
380,2014.0,Braga,VIZELA,1
381,2014.0,Braga,Vieira Do Minho,8
382,2014.0,Braga,Vieira do Minho,23
383,2014.0,Braga,Vila Nova De Famalicão,39
384,2014.0,Braga,Vila Nova de Famalicão,18
385,2014.0,Braga,Vila Verde,73
386,2014.0,Braga,Vizela,10
387,2014.0,Bragança,Alfândega Da Fé,8
388,2014.0,Bragança,Alfândega da Fé,12
389,2014.0,Bragança,Bragança,56
390,2014.0,Bragança,Carrazeda De Ansiães,15
391,2014.0,Bragança,Carrazeda de Ansiães,13
392,2014.0,Bragança,Freixo De Espada À Cinta,6
393,2014.0,Bragança,Freixo de Espada à Cinta,35
394,2014.0,Bragança,Macedo De Cavaleiros,12
395,2014.0,Bragança,Macedo de Cavaleiros,26
396,2014.0,Bragança,Miranda do Douro,10
