,ANO,CONCELHO,NCCO
595,2014,São Pedro Do Sul,6
596,2014,São Pedro do Sul,9
597,2014,TROFA,17
598,2014,Tabuaço,15
599,2014,Tarouca,10
600,2014,Tavira,27
601,2014,Terras De Bouro,10
602,2014,Terras de Bouro,13
603,2014,Tomar,79
604,2014,Tondela,39
605,2014,Torre De Moncorvo,21
606,2014,Torre de Moncorvo,39
607,2014,Torres Novas,38
608,2014,Torres Vedras,103
609,2014,Trancoso,46
610,2014,Trofa,19
611,2014,Tábua,11
612,2014,VIZELA,1
613,2014,Vagos,13
614,2014,Vale De Cambra,1
615,2014,Vale de Cambra,26
616,2014,Valença,28
617,2014,Valongo,116
618,2014,Valpaços,85
619,2014,Vendas Novas,7
620,2014,Viana Do Castelo,24
621,2014,Viana do Alentejo,1
622,2014,Viana do Castelo,52
623,2014,Vidigueira,18
624,2014,Vieira Do Minho,8
625,2014,Vieira do Minho,23
626,2014,Vila Do Conde,39
627,2014,Vila FLor,20
628,2014,Vila Flor,11
629,2014,Vila Franca De Xira,12
630,2014,Vila Franca de Xira,45
631,2014,Vila Nova De Cerveira,1
632,2014,Vila Nova De Famalicão,39
633,2014,Vila Nova De Foz Côa,34
634,2014,Vila Nova De Gaia,66
635,2014,Vila Nova da Barquinha,10
636,2014,Vila Nova de Cerveira,3
637,2014,Vila Nova de Famalicão,18
638,2014,Vila Nova de Gaia,47
639,2014,Vila Nova de Paiva,14
640,2014,Vila Nova de Poiares,4
641,2014,Vila Pouca De Aguiar,3
642,2014,Vila Pouca de Aguiar,63
643,2014,Vila Real,31
644,2014,Vila Real de Santo António,9
645,2014,Vila Velha de Ródão,12
646,2014,Vila Verde,73
647,2014,Vila Viçosa,5
648,2014,Vila de Rei,1
649,2014,Vila do Bispo,5
650,2014,Vila do Conde,25
651,2014,Vimioso,22
652,2014,Vinhais,31
653,2014,Viseu,111
654,2014,Vizela,10
655,2014,Vouzela,12
656,2014,Águeda,54
657,2014,Évora,47
658,2014,Ílhavo,11
659,2014,Óbidos,63
660,2015,Abrantes,80
661,2015,Aguiar da Beira,8
662,2015,Alandroal,13
663,2015,Albergaria-a-Velha,63
664,2015,Albergaria-a-velha,1
665,2015,Albufeira,31
666,2015,Alcanena,62
667,2015,Alcobaça,109
668,2015,Alcochete,30
669,2015,Alcoutim,12
670,2015,Alcácer Do Sal,4
671,2015,Alcácer do Sal,32
672,2015,Alenquer,159
673,2015,Alfândega Da Fé,5
674,2015,Alfândega da Fé,16
675,2015,Alijó,64
676,2015,Aljezur,12
677,2015,Aljustrel,18
678,2015,Almada,165
679,2015,Almeida,35
680,2015,Almeirim,34
681,2015,Almodôvar,7
682,2015,Alpiarça,30
683,2015,Alter do Chão,11
684,2015,Alvaiázere,18
685,2015,Alvito,10
686,2015,Amadora,87
687,2015,Amarante,323
688,2015,Amares,52
689,2015,Anadia,37
690,2015,Ansião,33
691,2015,Arcos De Valdevez,35
692,2015,Arcos de Valdevez,267
693,2015,Arganil,48
694,2015,Armamar,20
695,2015,Arouca,98
696,2015,Arraiolos,18
697,2015,Arronches,15
