ANO,DISTRITO,CONCELHO,NCCO
2013,Viseu,Sátão,38
2013,Viseu,São João da Pesqueira,32
2013,Viseu,São Pedro do Sul,38
2013,Viseu,Tabuaço,23
2013,Viseu,Tarouca,24
2013,Viseu,Tondela,166
2013,Viseu,Vila Nova de Paiva,94
2013,Viseu,Viseu,267
2013,Viseu,Vouzela,65
2013,Évora,Alandroal,13
2013,Évora,Arraiolos,10
2013,Évora,Borba,6
2013,Évora,Estremoz,22
2013,Évora,Montemor-o-Novo,22
2013,Évora,Mora,2
2013,Évora,Mourão,8
2013,Évora,Portel,7
2013,Évora,Redondo,7
2013,Évora,Reguengos de Monsaraz,23
2013,Évora,Vendas Novas,8
2013,Évora,Viana do Alentejo,9
2013,Évora,Vila Viçosa,5
2013,Évora,Évora,56
2014,Aveiro,Albergaria-a-Velha,50
2014,Aveiro,Anadia,24
2014,Aveiro,Arouca,41
2014,Aveiro,Aveiro,40
2014,Aveiro,Castelo de Paiva,21
2014,Aveiro,Espinho,19
2014,Aveiro,Estarreja,24
2014,Aveiro,Mealhada,21
2014,Aveiro,Murtosa,9
2014,Aveiro,Oliveira de Azeméis,66
2014,Aveiro,Oliveira do Bairro,14
2014,Aveiro,Ovar,26
2014,Aveiro,Santa Maria da Feira,84
2014,Aveiro,Sever do Vouga,12
2014,Aveiro,São João da Madeira,35
2014,Aveiro,Vagos,13
2014,Aveiro,Vale de Cambra,27
2014,Aveiro,Águeda,54
2014,Aveiro,Ílhavo,11
2014,Beja,Aljustrel,18
2014,Beja,Almodôvar,9
2014,Beja,Alvito,3
2014,Beja,Barrancos,3
2014,Beja,Beja,68
2014,Beja,Castro Verde,10
2014,Beja,Cuba,7
2014,Beja,Ferreira do Alentejo,12
2014,Beja,Moura,58
2014,Beja,Mértola,17
2014,Beja,Odemira,39
2014,Beja,Ourique,19
2014,Beja,Serpa,29
2014,Beja,Vidigueira,18
2014,Braga,Amares,22
2014,Braga,Barcelos,58
2014,Braga,Braga,36
2014,Braga,Cabeceiras de Basto,46
2014,Braga,Celorico de Basto,55
2014,Braga,Esposende,12
2014,Braga,Fafe,49
2014,Braga,Guimarães,117
2014,Braga,Póvoa de Lanhoso,66
2014,Braga,Terras de Bouro,23
2014,Braga,Vieira do Minho,31
2014,Braga,Vila Nova de Famalicão,57
2014,Braga,Vila Verde,73
2014,Braga,Vizela,11
2014,Bragança,Alfândega da Fé,20
2014,Bragança,Bragança,56
2014,Bragança,Carrazeda de Ansiães,28
2014,Bragança,Freixo de Espada à Cinta,41
2014,Bragança,Macedo de Cavaleiros,38
2014,Bragança,Miranda do Douro,10
2014,Bragança,Mirandela,54
2014,Bragança,Mogadouro,23
2014,Bragança,Torre de Moncorvo,60
2014,Bragança,Vila Flor,31
2014,Bragança,Vimioso,22
2014,Bragança,Vinhais,31
2014,Castelo Branco,Belmonte,11
2014,Castelo Branco,Castelo Branco,63
2014,Castelo Branco,Covilhã,53
2014,Castelo Branco,Fundão,27
2014,Castelo Branco,Idanha-a-Nova,36
2014,Castelo Branco,Oleiros,9
2014,Castelo Branco,Penamacor,10
2014,Castelo Branco,Proença-a-Nova,8
2014,Castelo Branco,Sertã,42
2014,Castelo Branco,Vila de Rei,1
2014,Castelo Branco,Vila Velha de Ródão,12
2014,Coimbra,Arganil,24
2014,Coimbra,Cantanhede,32
2014,Coimbra,Coimbra,74
2014,Coimbra,Condeixa-a-Nova,13
2014,Coimbra,Figueira da Foz,31
2014,Coimbra,Góis,12
2014,Coimbra,Lousã,10
2014,Coimbra,Mira,11
2014,Coimbra,Miranda do Corvo,13
2014,Coimbra,Montemor-o-Velho,14
2014,Coimbra,Oliveira do Hospital,70
2014,Coimbra,Pampilhosa da Serra,7
2014,Coimbra,Penacova,15
2014,Coimbra,Penela,9
2014,Coimbra,Soure,18
2014,Coimbra,Tábua,11
2014,Coimbra,Vila Nova de Poiares,4
2014,Faro,Albufeira,34
2014,Faro,Alcoutim,11
2014,Faro,Aljezur,6
2014,Faro,Castro Marim,15
2014,Faro,Faro,32
2014,Faro,lagoa,16
2014,Faro,Lagos,20
2014,Faro,Loulé,63
2014,Faro,Monchique,18
2014,Faro,Olhão,22
2014,Faro,Portimão,16
2014,Faro,Silves,46
2014,Faro,São Brás de Alportel,5
2014,Faro,Tavira,27
2014,Faro,Vila do Bispo,5
2014,Faro,Vila Real de Santo António,9
2014,Guarda,Aguiar da Beira,11
2014,Guarda,Almeida,15
2014,Guarda,Celorico da Beira,16
2014,Guarda,Figueira de Castelo Rodrigo,54
2014,Guarda,Fornos de Algodres,12
2014,Guarda,Gouveia,38
2014,Guarda,Guarda,35
2014,Guarda,Manteigas,1
2014,Guarda,mêda,39
2014,Guarda,Pinhel,37
2014,Guarda,Sabugal,34
2014,Guarda,Seia,52
2014,Guarda,Trancoso,46
2014,Guarda,Vila Nova de Foz Côa,34
2014,Leiria,Alcobaça,39
2014,Leiria,Alvaiázere,15
2014,Leiria,Ansião,12
2014,Leiria,Batalha,4
2014,Leiria,Bombarral,29
2014,Leiria,Caldas da Rainha,49
2014,Leiria,Castanheira de Pêra,10
2014,Leiria,Figueiró dos Vinhos,13
2014,Leiria,Leiria,46
2014,Leiria,Marinha Grande,17
2014,Leiria,Nazaré,7
2014,Leiria,Pedrógão Grande,21
2014,Leiria,Peniche,46
2014,Leiria,Pombal,53
2014,Leiria,Porto de Mós,20
2014,Leiria,Óbidos,63
2014,Lisboa,Alenquer,77
2014,Lisboa,Amadora,29
2014,Lisboa,Arruda dos Vinhos,27
2014,Lisboa,Azambuja,47
2014,Lisboa,Cadaval,24
2014,Lisboa,Cascais,63
2014,Lisboa,Lisboa,135
2014,Lisboa,Loures,75
2014,Lisboa,Lourinhã,37
2014,Lisboa,Mafra,29
2014,Lisboa,Odivelas,64
2014,Lisboa,Oeiras,47
2014,Lisboa,Sintra,165
2014,Lisboa,Sobral de Monte Agraço,16
2014,Lisboa,Torres Vedras,103
2014,Lisboa,Vila Franca de Xira,57
2014,Portalegre,Alter do Chão,5
2014,Portalegre,Arronches,10
2014,Portalegre,Avis,9
2014,Portalegre,Campo Maior,27
2014,Portalegre,Castelo de Vide,3
2014,Portalegre,Crato,5
2014,Portalegre,Elvas,57
2014,Portalegre,Fronteira,4
2014,Portalegre,Gavião,12
2014,Portalegre,Marvão,10
2014,Portalegre,Monforte,9
2014,Portalegre,Nisa,17
2014,Portalegre,Ponte de Sor,13
2014,Portalegre,Portalegre,20
2014,Portalegre,Sousel,7
2014,Porto,Amarante,111
2014,Porto,Baião,44
2014,Porto,Felgueiras,96
2014,Porto,Gondomar,164
2014,Porto,Lousada,80
2014,Porto,Maia,50
2014,Porto,Marco de Canaveses,96
2014,Porto,Matosinhos,35
2014,Porto,Paredes,160
2014,Porto,Paços de Ferreira,46
2014,Porto,Penafiel,186
2014,Porto,Póvoa de Varzim,26
2014,Porto,Santo Tirso,80
2014,Porto,Trofa,36
2014,Porto,Valongo,116
2014,Porto,Vila do Conde,64
2014,Porto,Vila Nova de Gaia,113
2014,Santarém,Abrantes,34
2014,Santarém,Alcanena,26
2014,Santarém,Almeirim,30
2014,Santarém,Alpiarça,18
2014,Santarém,Benavente,34
2014,Santarém,Cartaxo,33
2014,Santarém,Chamusca,15
2014,Santarém,Constância,9
2014,Santarém,Coruche,34
2014,Santarém,Entroncamento,6
2014,Santarém,Ferreira do Zêzere,6
2014,Santarém,Golegã,4
2014,Santarém,Mação,12
2014,Santarém,Ourém,45
2014,Santarém,Rio Maior,20
2014,Santarém,Salvaterra de Magos,37
2014,Santarém,Santarém,103
2014,Santarém,Sardoal,5
2014,Santarém,Tomar,79
2014,Santarém,Torres Novas,38
2014,Santarém,Vila Nova da Barquinha,10
2014,Setúbal,Alcochete,16
2014,Setúbal,Alcácer do Sal,20
2014,Setúbal,Almada,107
2014,Setúbal,Barreiro,23
2014,Setúbal,Grândola,24
2014,Setúbal,Moita,60
2014,Setúbal,Montijo,78
2014,Setúbal,Palmela,73
2014,Setúbal,Santiago do Cacém,28
2014,Setúbal,Seixal,57
2014,Setúbal,Sesimbra,26
2014,Setúbal,Setúbal,45
2014,Setúbal,Sines,11
2014,Viana do Castelo,Arcos de Valdevez,81
2014,Viana do Castelo,Caminha,29
2014,Viana do Castelo,Melgaço,4
2014,Viana do Castelo,Monção,28
2014,Viana do Castelo,Paredes de Coura,16
2014,Viana do Castelo,Ponte da Barca,36
2014,Viana do Castelo,Ponte de Lima,80
2014,Viana do Castelo,Valença,28
2014,Viana do Castelo,Viana do Castelo,76
2014,Viana do Castelo,Vila Nova de Cerveira,4
2014,Vila Real,Alijó,30
2014,Vila Real,Boticas,38
2014,Vila Real,Chaves,58
2014,Vila Real,Mesão Frio,6
2014,Vila Real,Mondim de Basto,13
2014,Vila Real,Montalegre,92
2014,Vila Real,Murça,15
2014,Vila Real,Peso da Régua,5
2014,Vila Real,Ribeira de Pena,39
2014,Vila Real,Sabrosa,17
2014,Vila Real,Santa Marta de Penaguião,9
2014,Vila Real,Valpaços,85
2014,Vila Real,Vila Pouca de Aguiar,66
2014,Vila Real,Vila Real,31
2014,Viseu,Armamar,11
2014,Viseu,Carregal do Sal,24
2014,Viseu,Castro Daire,35
2014,Viseu,Cinfães,73
2014,Viseu,Lamego,37
2014,Viseu,Mangualde,37
2014,Viseu,Moimenta da Beira,21
2014,Viseu,Mortágua,7
2014,Viseu,Nelas,29
2014,Viseu,Oliveira de Frades,18
2014,Viseu,Penalva do Castelo,4
2014,Viseu,Penedono,14
2014,Viseu,Resende,23
2014,Viseu,Santa Comba Dão,10
2014,Viseu,Sernancelhe,23
2014,Viseu,Sátão,13
2014,Viseu,São João da Pesqueira,32
2014,Viseu,São Pedro do Sul,15
2014,Viseu,Tabuaço,15
2014,Viseu,Tarouca,10
2014,Viseu,Tondela,39
2014,Viseu,Vila Nova de Paiva,14
2014,Viseu,Viseu,111
2014,Viseu,Vouzela,12
2014,Évora,Alandroal,14
2014,Évora,Arraiolos,13
2014,Évora,Borba,8
2014,Évora,Estremoz,25
2014,Évora,Montemor-o-Novo,14
2014,Évora,Mora,9
2014,Évora,Mourão,6
2014,Évora,Portel,8
2014,Évora,Redondo,6
2014,Évora,Reguengos de Monsaraz,16
2014,Évora,Vendas Novas,7
2014,Évora,Viana do Alentejo,1
2014,Évora,Vila Viçosa,5
2014,Évora,Évora,47
2015,Aveiro,Albergaria-a-Velha,64
2015,Aveiro,Anadia,37
2015,Aveiro,Arouca,98
2015,Aveiro,Aveiro,140
2015,Aveiro,Castelo de Paiva,30
2015,Aveiro,Espinho,55
2015,Aveiro,Estarreja,62
2015,Aveiro,Mealhada,30
2015,Aveiro,Murtosa,12
2015,Aveiro,Oliveira de Azeméis,113
2015,Aveiro,Oliveira do Bairro,43
2015,Aveiro,Ovar,60
2015,Aveiro,Santa Maria da Feira,186
2015,Aveiro,Sever do Vouga,69
2015,Aveiro,São João da Madeira,10
2015,Aveiro,Vagos,30
2015,Aveiro,Vale de Cambra,44
2015,Aveiro,Águeda,87
2015,Aveiro,Ílhavo,52
2015,Beja,Aljustrel,18
2015,Beja,Almodôvar,7
2015,Beja,Alvito,10
2015,Beja,Barrancos,4
2015,Beja,Beja,70
2015,Beja,Castro Verde,6
2015,Beja,Cuba,9
2015,Beja,Ferreira do Alentejo,16
